0	59.38	1
1	59.38	1.76
2	59.38	1.62
3	61.28	1.24
4	63.21	3
5	67.16	2.52
6	71.22	1
7	75.41	0.19
8	81.92	3.05
9	98.15	14.78
10	129.39	9.24
11	179.39	5.48
12	247.31	16.08
13	375.15	29.7
14	614.48	23.04
15	896.51	17.433
16	1198	32.7
17	1711.29	12.52
18	2013.37	4.43
19	2111.85	0.81
20	2165.85	0
21	2134.91	0
22	2058.53	0.5
23	1924.56	0
24	1752.94	0
25	1562.85	0
26	1304.17	0
27	1101.86	0
28	936.9	0
29	818.48	0
30	739.16	0
31	663.88	0
32	618.89	0
33	566.98	0
34	521.39	0
35	477.71	0
36	424.89	0
37	392.56	0
38	361.51	0
39	344.82	0
40	325.3	0
41	306.36	0
42	294.04	0
43	279	0
44	264.36	0
45	252.93	0
46	241.75	0
47	230.83	0
48	225.46	0
49	214.91	0
50	207.17	0
51	202.09	0
52	194.58	0
53	189.65	0
54	182.38	0
55	177.62	0
56	172.91	0
57	168.27	0
58	163.69	0
59	158.71	0
60	152.61	0
61	146.62	0
62	143.68	0
63	140.76	0
64	137.87	0
65	132.19	0
66	129.39	0
67	126.62	0
68	121.18	0
69	118.5	0
70	115.85	0
71	110.64	0
